longitude,latitude
-73.9473,40.6603
-73.9506,40.6601
-73.9535,40.6599
-73.9568,40.6597
-73.9606,40.6595
-73.9605,40.6588
-73.9604,40.6581
-73.9602,40.6572
-73.9601,40.6565
-73.9599,40.6557
-73.9607,40.6553
-73.9619,40.6549
-73.9632,40.6543
-73.9641,40.654
-73.9662,40.6532
-73.9712,40.6512
-73.9724,40.6507
-73.9737,40.6507
-73.9746,40.6503
-73.9756,40.6503
-73.9759,40.6508
-73.9768,40.6523
-73.9817,40.6566
-73.9828,40.6573
-73.9842,40.6583
-73.9851,40.659
-73.9871,40.6606
-73.9895,40.6617
-73.9917,40.663
-73.9939,40.6644
-73.9958,40.6655
-73.9966,40.6654
-73.9973,40.6646
